SVM_pvector;Shap;Permutation;LRC_perturbation;LRC_covariance
Ca ka;Ca ka;Ca ka;Ca ka;Ca ka
Fe ka;Fe ka;Fe ka;Fe ka;Fe ka
Ca kb;Ti ka;Ti ka;Ti ka;Ti ka
Fe kb;Si;Si;Mn;Mn
Si;Mn;Mn;Si;Si
Ti ka;Cr;Fe kb;Fe kb;Ca kb
Mn;background2;Ca kb;Ti kb;Fe kb
sum Fe;Ca kb;Ti kb;Ca kb;K
Al;Fe kb;P;background2;Ti kb
Cr;Ti kb;Al;S;Al
background3;P;Cr;Al;sum Fe
P;background1;sum Fe;P;P
background2;Cu;K;Cr;Cu
background1;;S;sum Fe;Cr
S;background3;Cu;background3;background2
Ti kb;sum Fe;background2;K;background3
Cu;Fe ka + Ti ka;background1;Rh L + Ar;S
Rh L + Ar;Rh L + Ar;Rh L + Ar;Cu;background1
Fe ka + Ti ka;K;background3;background1;Rh L + Ar
K;Al;Fe ka + Ti ka;Fe ka + Ti ka;Fe ka + Ti ka
;S;;;
