SVM_pvector;Shap;Permutation;LRC_perturbation;LRC_covariance
Rb ka + Br kb;S;K ka;K ka;K ka
Zn;Cl;Rb ka + Br kb;Rb ka + Br kb;Rh ka Compton
background3;K ka;Cl;Rh ka Compton;Fe
Cl;K kb + Ca ka;Rh ka Compton;background2;Rh ka Rayleigh
Rh ka Compton;background1;K kb + Ca ka;background3;background2
Cu;Mn;Br ka;Rh kb Compton;Rh kb Compton
Rh kb Rayleigh;Fe;Zn;Cl;background3
Rh kb Compton;Cu;Rh kb Compton;Br ka;Rb ka + Br kb
K kb + Ca ka;Zn;background3;K kb + Ca ka;K kb + Ca ka
background2;background2;Rh ka Rayleigh;Rh ka Rayleigh;
Br ka;Br ka;Fe;Zn;
background1;Rb ka + Br kb;background2;Fe;
Fe;background3;Rh kb Rayleigh;Cu;
Rh ka Rayleigh;Rh ka Compton;Cu;background1;
K ka;Rh ka Rayleigh;background1;Rh kb Rayleigh;
Mn;Rh kb Compton;Mn;Mn;
S;Rh kb Rayleigh;S;S;
;;;;
